order_id,order_date,channel,sku,quantity,unit_price,unit_cost,fulfillment_type,is_returned,warehouse_zone,pick_time_sec
ORD000001,2024-06-01,Amazon,SKU_A101,2,19.99,11.5,FBA,0,A,38
ORD000002,2024-06-01,eBay,SKU_B203,1,89.99,62.0,Warehouse,0,B,92
ORD000003,2024-06-02,Amazon,SKU_A101,1,18.99,11.5,FBA,1,A,40
ORD000004,2024-06-02,Website,SKU_C330,3,12.49,6.8,Warehouse,0,C,120
ORD000005,2024-06-03,Amazon,SKU_D410,1,249.00,198.0,FBM,0,B,75
ORD000006,2024-06-03,eBay,SKU_B210,1,129.99,95.0,Warehouse,0,B,88
ORD000007,2024-06-04,Amazon,SKU_A102,2,24.99,15.0,FBA,0,A,42
ORD000008,2024-06-04,Website,SKU_C330,4,11.99,6.8,Warehouse,0,C,135
ORD000009,2024-06-05,Amazon,SKU_A101,1,20.49,11.5,FBA,0,A,36
ORD000010,2024-06-05,eBay,SKU_B203,2,87.99,62.0,Warehouse,1,B,95
ORD000011,2024-06-06,Amazon,SKU_A102,1,23.99,15.0,FBA,0,A,41
ORD000012,2024-06-06,Website,SKU_C330,2,12.99,6.8,Warehouse,0,C,128
ORD000013,2024-06-07,Amazon,SKU_D410,1,245.00,198.0,FBM,0,B,70
ORD000014,2024-06-07,eBay,SKU_B210,1,132.99,95.0,Warehouse,0,B,90
ORD000015,2024-06-08,Amazon,SKU_A101,3,19.49,11.5,FBA,0,A,39
ORD000016,2024-06-08,Website,SKU_C330,5,11.49,6.8,Warehouse,1,C,140
ORD000017,2024-06-09,Amazon,SKU_A102,2,24.49,15.0,FBA,0,A,44
ORD000018,2024-06-09,eBay,SKU_B203,1,91.99,62.0,Warehouse,0,B,85
ORD000019,2024-06-10,Amazon,SKU_A101,1,21.99,11.5,FBA,0,A,37
ORD000020,2024-06-10,Website,SKU_C330,3,12.29,6.8,Warehouse,0,C,125
